time,O2,heart rate,motion,02reminder,pulsereminder
0,98,71,0,0,0
4,98,71,0,0,0
8,98,73,0,0,0
12,98,72,0,0,0
16,98,72,16,0,0
20,98,72,12,0,0
24,98,72,41,0,0
28,98,72,7,0,0
32,98,72,12,0,0
36,98,72,10,0,0
40,98,72,10,0,0
44,98,72,16,0,0
48,98,72,1,0,0
52,99,69,0,0,0
56,99,72,4,0,0
60,99,71,0,0,0
64,98,69,0,0,0
68,98,69,9,0,0
72,98,69,9,0,0
76,96,68,2,0,0
80,95,65,10,0,0
84,95,65,1,0,0
88,95,65,1,0,0
92,95,65,1,0,0
96,95,65,58,0,0
100,95,65,6,0,0
104,95,65,0,0,0
108,95,65,1,0,0
112,95,65,8,0,0
116,95,65,1,0,0
120,95,65,0,0,0
124,95,65,5,0,0
128,95,65,0,0,0
132,95,65,3,0,0
136,95,65,0,0,0
140,95,65,0,0,0
144,95,65,4,0,0
148,97,69,1,0,0
152,97,69,3,0,0
156,97,69,7,0,0
160,97,69,4,0,0
164,97,69,8,0,0
168,97,69,4,0,0
172,97,69,2,0,0
176,97,69,2,0,0
180,97,69,1,0,0
184,97,69,2,0,0
188,97,69,4,0,0
192,97,69,3,0,0
196,97,69,12,0,0
200,97,69,20,0,0
204,97,69,6,0,0
208,97,69,4,0,0
212,97,69,1,0,0
216,97,69,0,0,0
220,97,69,13,0,0
224,97,69,19,0,0
228,97,69,9,0,0
232,97,69,3,0,0
236,97,69,21,0,0
240,97,69,12,0,0
244,97,69,6,0,0
248,97,69,21,0,0
252,97,69,1,0,0
256,97,69,2,0,0
260,97,69,7,0,0
264,97,69,4,0,0
268,97,69,0,0,0
272,255,nan,1,0,0
276,255,nan,0,0,0
280,255,nan,0,0,0
284,255,nan,0,0,0
288,98,68,0,0,0
292,97,68,0,0,0
296,96,68,1,0,0
300,96,67,1,0,0
304,96,67,11,0,0
308,96,67,34,0,0
312,96,67,0,0,0
316,98,70,0,0,0
320,97,76,0,0,0
324,97,75,0,0,0
328,97,73,0,0,0
332,97,73,0,0,0
336,97,73,0,0,0
340,96,72,0,0,0
344,96,70,0,0,0
348,96,65,13,0,0
352,96,65,2,0,0
356,96,65,6,0,0
360,96,65,5,0,0
364,96,65,2,0,0
368,98,74,0,0,0
372,97,76,0,0,0
376,97,76,24,0,0
380,97,76,0,0,0
384,97,76,0,0,0
388,97,76,0,0,0
392,97,76,0,0,0
396,97,76,0,0,0
400,97,76,0,0,0
404,97,76,0,0,0
408,97,76,0,0,0
412,97,76,16,0,0
416,97,76,0,0,0
420,97,76,0,0,0
424,96,76,0,0,0
428,96,76,0,0,0
432,96,70,0,0,0
436,96,nan,0,0,0
440,96,62,0,0,0
444,96,63,35,0,0
448,96,63,0,0,0
452,96,63,0,0,0
456,96,63,0,0,0
460,98,63,0,0,0
464,98,65,0,0,0
468,98,67,0,0,0
472,97,68,5,0,0
476,97,68,0,0,0
480,97,68,1,0,0
484,97,68,2,0,0
488,97,68,0,0,0
492,97,68,1,0,0
496,97,68,3,0,0
500,97,68,0,0,0
504,95,71,0,0,0
508,96,77,0,0,0
512,96,77,0,0,0
516,96,77,9,0,0
520,96,77,0,0,0
524,96,77,3,0,0
528,96,77,23,0,0
532,96,77,0,0,0
536,96,77,1,0,0
540,96,77,0,0,0
544,96,77,2,0,0
548,96,77,0,0,0
552,96,77,0,0,0
556,96,77,1,0,0
560,96,77,0,0,0
564,96,77,0,0,0
568,96,77,1,0,0
572,96,77,0,0,0
576,96,77,0,0,0
580,96,77,0,0,0
584,96,77,2,0,0
588,96,77,0,0,0
592,96,74,0,0,0
596,96,74,0,0,0
600,96,74,0,0,0
604,96,74,0,0,0
608,96,74,0,0,0
612,96,74,0,0,0
616,96,74,0,0,0
620,96,74,0,0,0
624,96,74,0,0,0
628,96,74,0,0,0
632,96,74,5,0,0
636,96,74,2,0,0
640,98,71,0,0,0
644,98,65,0,0,0
648,98,65,0,0,0
652,98,62,6,0,0
656,98,62,0,0,0
660,98,62,14,0,0
664,98,62,1,0,0
668,98,68,6,0,0
672,97,72,2,0,0
676,97,72,6,0,0
680,97,72,0,0,0
684,97,72,8,0,0
688,97,72,3,0,0
692,97,72,3,0,0
696,97,72,1,0,0
700,98,68,3,0,0
704,97,68,0,0,0
708,97,68,19,0,0
712,97,68,2,0,0
716,97,68,0,0,0
720,97,68,5,0,0
724,98,66,0,0,0
728,98,66,6,0,0
732,98,66,26,0,0
736,98,66,0,0,0
740,98,69,0,0,0
744,98,72,2,0,0
748,98,71,3,0,0
752,98,71,2,0,0
756,97,68,0,0,0
760,97,68,0,0,0
764,98,68,1,0,0
768,97,65,3,0,0
772,97,65,1,0,0
776,97,65,0,0,0
780,97,65,2,0,0
784,97,65,0,0,0
788,97,65,0,0,0
792,97,65,0,0,0
796,97,65,1,0,0
800,97,65,1,0,0
804,97,65,2,0,0
808,97,65,0,0,0
812,97,65,0,0,0
816,95,65,0,0,0
820,95,65,1,0,0
824,93,68,0,0,0
828,93,68,0,0,0
832,96,70,0,0,0
836,96,70,0,0,0
840,96,68,0,0,0
844,96,68,0,0,0
848,96,68,1,0,0
852,96,68,0,0,0
856,96,68,0,0,0
860,95,72,4,0,0
864,95,72,0,0,0
868,95,72,0,0,0
872,95,72,0,0,0
876,95,72,3,0,0
880,95,72,0,0,0
884,95,72,0,0,0
888,95,72,0,0,0
892,97,72,0,0,0
896,97,72,35,0,0
900,97,72,12,0,0
904,97,72,8,0,0
908,97,72,2,0,0
912,97,72,0,0,0
916,97,72,0,0,0
920,97,72,3,0,0
924,97,72,0,0,0
928,97,72,0,0,0
932,97,72,0,0,0
936,97,72,4,0,0
940,97,72,5,0,0
944,97,72,4,0,0
948,97,72,1,0,0
952,97,72,0,0,0
956,97,72,8,0,0
960,97,72,5,0,0
964,255,nan,13,0,0
968,255,nan,92,0,0
972,255,nan,24,0,0
976,255,nan,28,0,0
